,source,id_source,target,id_target,weights
0,scienceinvestme,135970150,JoeBiden,939091,1.0
1,elnurrik3,1172766864268832769,POTUS,1349149096909668363,0.6610169491525424
2,dmaga101,1267802238874877953,JoeBiden,939091,0.6610169491525424
3,slothsforme,3842652433,POTUS,1349149096909668363,0.4915254237288136
4,natashaejs,1262462710568022017,ProjectLincoln,1205226529455632385,0.4576271186440678
5,milesqblack1,1084980649520496642,realDonaldTrump,25073877,0.4406779661016949
6,khosraviamirali,1843984716,POTUS,1349149096909668363,0.4067796610169492
7,khosraviamirali,1843984716,JoeBiden,939091,0.4067796610169492
8,drmiltenberger,1092550333044322304,realDonaldTrump,25073877,0.4067796610169492
9,lisaisme85,2900247904,realDonaldTrump,25073877,0.3898305084745763
10,technologie2021,1255391258694074373,nytimes,807095,0.3898305084745763
11,lisaisme85,2900247904,JoeBiden,939091,0.3898305084745763
12,icecreamonacone,54361678,ProjectLincoln,1205226529455632385,0.3728813559322034
13,theliberalpov,232353398,JoeBiden,939091,0.3389830508474576
14,jphoganorg,37222728,POTUS,1349149096909668363,0.3389830508474576
15,willdye4u,240073748,realDonaldTrump,25073877,0.288135593220339
16,khosraviamirali,1843984716,VP,803694179079458816,0.2711864406779661
17,kccollins20,1227402402145267712,HillaryClinton,1339835893,0.2711864406779661
18,technologie2021,1255391258694074373,BernieSanders,216776631,0.2542372881355932
19,jphoganorg,37222728,realDonaldTrump,25073877,0.2542372881355932
20,unsportingiam,1452785252,JoeBiden,939091,0.23728813559322035
21,beyfirudin,1298705760428400641,StateDept,9624742,0.23728813559322035
22,nikihamedi,758186902289645569,POTUS,1349149096909668363,0.22033898305084745
23,jphoganorg,37222728,GOPChairwoman,2353605901,0.22033898305084745
24,icecreamonacone,54361678,JoeBiden,939091,0.22033898305084745
25,alyseb1980,64773321,realDonaldTrump,25073877,0.22033898305084745
26,khosraviamirali,1843984716,KamalaHarris,30354991,0.22033898305084745
27,golmakanineda,1355147425728638977,ckuck,16105846,0.22033898305084745
28,healthybuttrfly,99532356,Alyssa_Milano,26642006,0.22033898305084745
29,theliberalpov,232353398,FullMetalFinch,742502593943900163,0.22033898305084745
30,peterdawsonusa,84091971,JoeBiden,939091,0.2033898305084746
31,theliberalpov,232353398,ProjectLincoln,1205226529455632385,0.2033898305084746
32,electiledysfx,1210976097329745925,JoeBiden,939091,0.2033898305084746
33,mistert_333,798687837054828544,realDonaldTrump,25073877,0.2033898305084746
34,aria468,1354083995219275776,POTUS,1349149096909668363,0.1864406779661017
35,irvinepmaicon,2900987098,realDonaldTrump,25073877,0.1864406779661017
36,golmakanineda,1355147425728638977,POTUS,1349149096909668363,0.1864406779661017
37,golmakanineda,1355147425728638977,Solmazv7,1328054042107396096,0.1864406779661017
38,golmakanineda,1355147425728638977,VP,803694179079458816,0.1864406779661017
39,greenlakerun,30149991,realDonaldTrump,25073877,0.1864406779661017
40,kdlovesmd,1226352092459106304,realDonaldTrump,25073877,0.1864406779661017
41,bjorkian15,2902931482,JoeBiden,939091,0.1864406779661017
42,jphoganorg,37222728,GOPLeader,19739126,0.1864406779661017
43,johnsullysfb,4184432716,JoeBiden,939091,0.1864406779661017
44,dcfairbank,55679493,JoeBiden,939091,0.1864406779661017
45,iris2856,703437315130130432,realDonaldTrump,25073877,0.1694915254237288
46,technologie2021,1255391258694074373,CNN,759251,0.1694915254237288
47,michaelvabeach,1063557161320615936,JoeBiden,939091,0.1694915254237288
48,ahluv2,1617917486,POTUS,1349149096909668363,0.1694915254237288
49,blesamerica,2534967565,TuckerCarlson,22703645,0.1694915254237288
50,blesamerica,2534967565,IngrahamAngle,50769180,0.1694915254237288
51,zemanlynnz,3589010426,GOP,11134252,0.15254237288135594
52,letshearthetru,1151623664854429697,JoeBiden,939091,0.15254237288135594
