,username_mittente,id_mittente,username_ricevente,id_ricevente,semestre,weights
0,lisaisme85,2900247904,realDonaldTrump,25073877,1.0,1.0
1,lisaisme85,2900247904,JoeBiden,939091,1.0,0.9444444444444444
2,healthybuttrfly,99532356,Alyssa_Milano,26642006,1.0,0.7222222222222222
3,mistert_333,798687837054828544,realDonaldTrump,25073877,1.0,0.6666666666666666
4,electiledysfx,1210976097329745925,JoeBiden,939091,1.0,0.6666666666666666
5,dmaga101,1267802238874877953,JoeBiden,939091,1.0,0.6111111111111112
6,bjorkian15,2902931482,JoeBiden,939091,1.0,0.6111111111111112
7,kccollins20,1227402402145267712,HillaryClinton,1339835893,1.0,0.5555555555555556
8,theliberalpov,232353398,JoeBiden,939091,1.0,0.5
9,moogoo3544,314641312,AmericaNewsroom,312800783,1.0,0.5
10,moogoo3544,314641312,cvpayne,19400611,1.0,0.5
11,letshearthetru,1151623664854429697,JoeBiden,939091,1.0,0.5
12,scienceinvestme,135970150,JoeBiden,939091,1.0,0.5
13,willdye4u,240073748,realDonaldTrump,25073877,1.0,0.4444444444444444
14,catskilljulie,61041270,JoeBiden,939091,1.0,0.3888888888888889
15,jacq4peace,1242991880,JoeBiden,939091,1.0,0.3888888888888889
16,bosslattie,1244486063097147392,JoeBiden,939091,1.0,0.3888888888888889
17,joethevoter,17324944,realDonaldTrump,25073877,1.0,0.3888888888888889
18,joethevoter,17324944,SenRickScott,131546062,1.0,0.3888888888888889
19,peterdawsonusa,84091971,BernieSanders,216776631,1.0,0.3888888888888889
20,electiledysfx,1210976097329745925,BernieSanders,216776631,1.0,0.3888888888888889
21,moogoo3544,314641312,SandraSmithFox,2332354080,1.0,0.3888888888888889
22,greenlakerun,30149991,realDonaldTrump,25073877,1.0,0.3333333333333333
23,mom49of3,851518182,realDonaldTrump,25073877,1.0,0.3333333333333333
24,jillpiggott,3116066493,JoeBiden,939091,1.0,0.3333333333333333
25,letshearthetru,1151623664854429697,Alyssa_Milano,26642006,1.0,0.3333333333333333
26,theliberalpov,232353398,FullMetalFinch,742502593943900163,1.0,0.3333333333333333
27,healthybuttrfly,99532356,wineecon,57978188,1.0,0.3333333333333333
28,marinagipps,16194607,JoeBiden,939091,1.0,0.3333333333333333
29,chirpingkatee,2991321009,JoeBiden,939091,1.0,0.3333333333333333
30,stickerdeep,177500997,realDonaldTrump,25073877,1.0,0.3333333333333333
31,schenhayes,3013191149,ggreenwald,16076032,1.0,0.3333333333333333
32,horseridersocal,54320524,JoeBiden,939091,1.0,0.3333333333333333
33,joethevoter,17324944,GOPChairwoman,2353605901,1.0,0.3333333333333333
34,iris2856,703437315130130432,realDonaldTrump,25073877,1.0,0.2777777777777778
35,mom49of3,851518182,JoeBiden,939091,1.0,0.2777777777777778
36,realrandycohen,839786785,MattGlantz,27514116,1.0,0.2777777777777778
37,jhalbrecht,24503192,thehill,1917731,1.0,0.2777777777777778
38,healthybuttrfly,99532356,CoryBooker,15808765,1.0,0.2777777777777778
39,dcfairbank,55679493,DNC,722793491059769344,1.0,0.2777777777777778
40,moogoo3544,314641312,edhenry,16157855,1.0,0.2777777777777778
41,theliberalpov,232353398,SteveSchmidtSES,786309892990574592,1.0,0.2777777777777778
42,moogoo3544,314641312,BretBaier,18646108,1.0,0.2777777777777778
43,scienceinvestme,135970150,dcexaminer,18956073,1.0,0.2777777777777778
44,robhny,33079006,thehill,1917731,1.0,0.2777777777777778
45,miksu2006,4498209202,JoeBiden,939091,1.0,0.2777777777777778
46,theliberalpov,232353398,DavidCornDC,15220768,1.0,0.2777777777777778
47,brendy5264,776028206579216385,JoeBiden,939091,1.0,0.2777777777777778
48,exposingfakene4,979576008004136961,SENSEIKURT,37591321,1.0,0.2777777777777778
49,johnsullysfb,4184432716,JoeBiden,939091,1.0,0.2777777777777778
50,abnrgr504,885433602,JoeBiden,939091,1.0,0.2777777777777778
51,electiledysfx,1210976097329745925,DNC,722793491059769344,1.0,0.2777777777777778
52,alyseb1980,64773321,CNN,759251,1.0,0.2777777777777778
53,pilot135pd,95308100,realDonaldTrump,25073877,1.0,0.2777777777777778
54,jphoganorg,37222728,realDonaldTrump,25073877,1.0,0.2777777777777778
55,kas_sb,408934861,thehill,1917731,1.0,0.2777777777777778
56,lisaisme85,2900247904,BarackObama,813286,1.0,0.2777777777777778
57,lisaisme85,2900247904,JohnCarneyDE,237770636,1.0,0.2777777777777778
