,username_mittente,id_mittente,username_ricevente,id_ricevente,semestre,weights
0,beyfirudin,1298705760428400641,StateDept,9624742,5,1.0
1,b1gten01,885566995084824577,ABCWorldNews,86141342,5,0.5714285714285714
2,sfslsyed,2951975394,TurgayEvren1,373854815,5,0.5714285714285714
3,b1gten01,885566995084824577,FoxNews,1367531,5,0.5714285714285714
4,francisjeffrey7,2268376730,TulsiGabbard,26637348,5,0.42857142857142855
5,howserob,1267982563,JasonMBrodsky,1908627954,5,0.42857142857142855
6,b1gten01,885566995084824577,CNN,759251,5,0.42857142857142855
7,lorirennie,1353276129516220416,JimLongo63,959983126817755136,5,0.42857142857142855
8,akasgtmom,60175285,POTUS,1349149096909668363,5,0.2857142857142857
9,b1gten01,885566995084824577,JoeBiden,939091,5,0.2857142857142857
10,keelinjohn,768562356939001856,FoxNews,1367531,5,0.2857142857142857
11,lorirennie,1353276129516220416,ThomasGrissom,40248692,5,0.2857142857142857
12,lorirennie,1353276129516220416,techBohn,409957362,5,0.2857142857142857
13,dcfairbank,55679493,jimmy_dore,98992586,5,0.2857142857142857
14,dcfairbank,55679493,miserablelib,901231734,5,0.2857142857142857
15,margincall_420,1370620593591173124,RepNancyMace,1343597700542038017,5,0.2857142857142857
16,jamespyles,18692552,LifeNewsHQ,50434933,5,0.2857142857142857
17,jjsilva4,388783155,OliverStuenkel,18048681,5,0.2857142857142857
18,kennethray25,71476338,elonmusk,44196397,5,0.2857142857142857
19,kennethkallup,4848087193,BobFromIllinois,1465427392311316490,5,0.2857142857142857
20,newlondon123,2685627318,POTUS,1349149096909668363,5,0.2857142857142857
21,sfslsyed,2951975394,NajamAli2020,2863833423,5,0.2857142857142857
22,speakwrespect,1426912497651625992,GOP,11134252,5,0.2857142857142857
23,ingloriousbhere,1024067503809548288,David_in_Dallas,614322220,5,0.2857142857142857
24,lodge20201,1343578692941991936,newsmax,20545835,5,0.2857142857142857
25,ingloriousbhere,1024067503809548288,FredRosner,844129537,5,0.2857142857142857
26,ingloriousbhere,1024067503809548288,IsraelandUSA,949168023868493824,5,0.2857142857142857
27,ingloriousbhere,1024067503809548288,NYCREMilton,46281453,5,0.2857142857142857
28,ingloriousbhere,1024067503809548288,Odelia_Too,887204539841040385,5,0.2857142857142857
29,ingloriousbhere,1024067503809548288,OhNoMo6,923770131066564608,5,0.2857142857142857
30,ingloriousbhere,1024067503809548288,RoverDov123,3001781975,5,0.2857142857142857
31,lorirennie,1353276129516220416,AdamInHTownTX,1230237046767341572,5,0.2857142857142857
32,ingloriousbhere,1024067503809548288,YazidiRescueOps,919693346943115265,5,0.2857142857142857
33,ingloriousbhere,1024067503809548288,YourTimesCome,1030306690237968384,5,0.2857142857142857
34,ingloriousbhere,1024067503809548288,ZoharInside,883486415073542144,5,0.2857142857142857
35,ingloriousbhere,1024067503809548288,chrispeterson65,424304513,5,0.2857142857142857
36,ingloriousbhere,1024067503809548288,coinabs,2712571328,5,0.2857142857142857
37,ingloriousbhere,1024067503809548288,james_anderssen,717069654158655488,5,0.2857142857142857
38,ingloriousbhere,1024067503809548288,montimai,2326815733,5,0.2857142857142857
39,ingloriousbhere,1024067503809548288,wearewhiterose_,2172753872,5,0.2857142857142857
40,beyfirudin,1298705760428400641,SecBlinken,1350150750966603777,5,0.2857142857142857
41,ingloriousbhere,1024067503809548288,Corp125Vet,728617212152455168,5,0.2857142857142857
42,beyfirudin,1298705760428400641,POTUS,1349149096909668363,5,0.2857142857142857
43,yourworstnemywi,1469038629477662723,meganjnovak,1115705656479109120,5,0.2857142857142857
44,janieresists,1158562636113440768,lesiavasylenko,1219232377605644289,5,0.2857142857142857
45,francisjeffrey7,2268376730,ggreenwald,16076032,5,0.2857142857142857
46,sfslsyed,2951975394,POTUS,1349149096909668363,5,0.2857142857142857
47,berkshiretory,1500670295941734401,Keir_Starmer,2425571623,5,0.2857142857142857
48,lorirennie,1353276129516220416,GregAbbott_TX,90651198,5,0.14285714285714285
49,newlondon123,2685627318,bts_bighit,1409798257,5,0.14285714285714285
50,garygreno,1344787579,DocFangFang,899981100637986816,5,0.14285714285714285
51,garygreno,1344787579,Dave92442188,1350442130993532933,5,0.14285714285714285
52,mstmo1983,1330846699061964801,POTUS,1349149096909668363,5,0.14285714285714285
53,stevenalbritton,66768507,WLWT,2067661,5,0.14285714285714285
54,garygreno,1344787579,CommentPleasure,1437560341303631875,5,0.14285714285714285
55,garygreno,1344787579,David4677484957,1468573777906712579,5,0.14285714285714285
56,mstmo1983,1330846699061964801,ScottPresler,931286316,5,0.14285714285714285
57,mstmo1983,1330846699061964801,WhiteHouse,1323730225067339784,5,0.14285714285714285
58,lorirennie,1353276129516220416,JudgeJeanine,29458079,5,0.14285714285714285
59,lorirennie,1353276129516220416,KremlinRussia_E,205622130,5,0.14285714285714285
60,lorirennie,1353276129516220416,JudieHall9,842150939226132480,5,0.14285714285714285
61,newswat82877157,1353554379878637568,JennaEllisEsq,778763106289758208,5,0.14285714285714285
62,flpublicaffairs,997576167891914753,TheOvalPawffice,1331107444416770048,5,0.14285714285714285
63,b1gten01,885566995084824577,CBSNews,15012486,5,0.14285714285714285
64,garygreno,1344787579,EXPOSECORRUPT11,1500981863502036992,5,0.14285714285714285
65,lorirennie,1353276129516220416,MartiCMont1,1183743737303916544,5,0.14285714285714285
66,garygreno,1344787579,teamphil,27023860,5,0.14285714285714285
67,garygreno,1344787579,sundog723,924688857416609792,5,0.14285714285714285
68,garygreno,1344787579,spiralwrap,361668793,5,0.14285714285714285
69,b1gten01,885566995084824577,GovRonDeSantis,1058807868,5,0.14285714285714285
70,francvs,9729112,ProfMJCleveland,765255265503543296,5,0.14285714285714285
71,rebel1234xy,2279727325,business,34713362,5,0.14285714285714285
72,mstmo1983,1330846699061964801,MsMamush2,830545826313289729,5,0.14285714285714285
73,berkshiretory,1500670295941734401,RhonddaBryant,20995648,5,0.14285714285714285
74,garygreno,1344787579,CanYouHearMeN15,1351857634652073991,5,0.14285714285714285
75,garygreno,1344787579,8BrianVogel4,838736654537994240,5,0.14285714285714285
76,garygreno,1344787579,BconnectedJ,1387571220829417473,5,0.14285714285714285
77,justmeanybody,1305865621880569856,DefenceHQ,16133530,5,0.14285714285714285
78,justmeanybody,1305865621880569856,AdamKinzinger,18004222,5,0.14285714285714285
79,apostelx,1573753130,SpencerGuard,792054557501038592,5,0.14285714285714285
80,apostelx,1573753130,TheresaAFallon,2407734505,5,0.14285714285714285
81,garygreno,1344787579,AngryFleas,1246805790775816194,5,0.14285714285714285
82,garygreno,1344787579,AnglerLouisiana,1412958105189507075,5,0.14285714285714285
83,romulus7078,1133472756,JimWill_KAG,922096505435164673,5,0.14285714285714285
84,aradaanp,1130176152251715584,DefenceU,630995607,5,0.14285714285714285
85,geneticliberal,141249668,RandiRhodes,53159373,5,0.14285714285714285
86,tblackwe85,3272301115,JoeBiden,939091,5,0.14285714285714285
87,garygreno,1344787579,Billenjoylife,1337851400143958018,5,0.14285714285714285
88,rebel1234xy,2279727325,BBCWorld,742143,5,0.14285714285714285
89,eyesonfoxorg,117327100,YouGottaVote,22255728,5,0.14285714285714285
90,garygreno,1344787579,Birdseye1,31212830,5,0.14285714285714285
91,aradaanp,1130176152251715584,mpalinchak,90349848,5,0.14285714285714285
92,ingloriousbhere,1024067503809548288,SpartacusMyBro,1002295416208183296,5,0.14285714285714285
93,mtaylorcanfield,22671315,JosephNSanberg,2806253912,5,0.14285714285714285
94,janieresists,1158562636113440768,eng_vp,1484183740376969223,5,0.14285714285714285
95,garygreno,1344787579,BrightAndHollow,2575978128,5,0.14285714285714285
96,mtaylorcanfield,22671315,harveyjkaye,232681242,5,0.14285714285714285
97,lorirennie,1353276129516220416,CREEKWARRIOR47,785332407763406848,5,0.14285714285714285
98,chevy419,1079033865803579401,mirandadevine,32201297,5,0.14285714285714285
99,garygreno,1344787579,sandraclunie,51203205,5,0.14285714285714285
100,garygreno,1344787579,EviemaRee777,915730338231570432,5,0.14285714285714285
101,b1gten01,885566995084824577,NBCNews,14173315,5,0.14285714285714285
102,francisjeffrey7,2268376730,deepa_driver,971466492356251648,5,0.14285714285714285
103,garygreno,1344787579,rhsibley,635685492,5,0.14285714285714285
104,garygreno,1344787579,Tom_Neverwinter,16057331,5,0.14285714285714285
105,besthealthyou,1573512366,I_Katchanovski,255690491,5,0.14285714285714285
106,tannerboyle15,1310968673864216576,nypost,17469289,5,0.14285714285714285
107,beatlebaby64,31565017,NewstalkSTL,1386865200205373440,5,0.14285714285714285
108,garygreno,1344787579,TheWreckingBal5,1206298156364754944,5,0.14285714285714285
109,garygreno,1344787579,PogueMoran,21925564,5,0.14285714285714285
110,garygreno,1344787579,FamousSheymus1,1489612863106957319,5,0.14285714285714285
111,garygreno,1344787579,PhilipPower13,1068385830945939462,5,0.14285714285714285
112,ltd765,373457904,TheRickWilson,19084896,5,0.14285714285714285
113,garygreno,1344787579,Paul4dogs,1107974486056468481,5,0.14285714285714285
114,garygreno,1344787579,Marc62300483,1340993626999025666,5,0.14285714285714285
115,garygreno,1344787579,LadyBB85125431,1416934051957645314,5,0.14285714285714285
116,garygreno,1344787579,LadyB01427871,1396035684134236162,5,0.14285714285714285
117,garygreno,1344787579,Julie_NoNumbers,1177386887599861761,5,0.14285714285714285
118,cast_cal,977784139926659072,BorisJohnson,3131144855,5,0.14285714285714285
119,garygreno,1344787579,JayPotter__,1518802968623165440,5,0.14285714285714285
120,garygreno,1344787579,IanB_67,1502580650028990465,5,0.14285714285714285
121,garygreno,1344787579,FemmeVoilet,1292425241864466432,5,0.14285714285714285
122,garygreno,1344787579,Fueldog3,1360247671584399369,5,0.14285714285714285
123,texlyn82,984618667521531904,POTUS,1349149096909668363,5,0.14285714285714285
124,garygreno,1344787579,HoundTheLibs,835406541742346240,5,0.14285714285714285
125,jim_wagner_tx,2955495762,CNBC,20402945,5,0.14285714285714285
126,garygreno,1344787579,Hirdman,46305708,5,0.14285714285714285
127,jillladelus1,2346959091,K62615,1389179614866690053,5,0.14285714285714285
128,jillladelus1,2346959091,GuideToTheBible,3379130812,5,0.14285714285714285
129,therealpepsi21,1372093380348444673,POTUS,1349149096909668363,5,0.14285714285714285
130,garygreno,1344787579,WCSmith50952576,1488125362349481985,5,0.14285714285714285
131,garygreno,1344787579,account_walt,1479083337402793991,5,0.14285714285714285
132,garygreno,1344787579,goodtroubless,57192212,5,0.14285714285714285
133,garygreno,1344787579,notasoreloser,1325965750746578945,5,0.14285714285714285
134,forcemultstevea,1166381062248783874,nywolforg,529540495,5,0.14285714285714285
135,garygreno,1344787579,nikkillavender,932620726498144256,5,0.14285714285714285
136,garygreno,1344787579,marvin_hill123,483686823,5,0.14285714285714285
137,johneyes,61666676,POTUS,1349149096909668363,5,0.14285714285714285
138,b1gten01,885566995084824577,Weinsteinlaw,22879254,5,0.14285714285714285
139,garygreno,1344787579,itisjustmebabe,1121447284825370624,5,0.14285714285714285
140,garygreno,1344787579,FD03955088,1428112038476361737,5,0.14285714285714285
141,lorirennie,1353276129516220416,WhiteHouse,1323730225067339784,5,0.14285714285714285
142,lorirennie,1353276129516220416,amyklobuchar,33537967,5,0.14285714285714285
143,garygreno,1344787579,isthats75228187,1479878131452243973,5,0.14285714285714285
144,itsyourgrace,570567264,BretBaier,18646108,5,0.14285714285714285
145,garygreno,1344787579,belvethesurviv,1497438822749163521,5,0.14285714285714285
146,garygreno,1344787579,ever_texas4,1268334435549818881,5,0.14285714285714285
147,billbuttlick3r,250762279,POTUS,1349149096909668363,5,0.14285714285714285
148,itsyourgrace,570567264,FoxNewsSunday,18805644,5,0.14285714285714285
149,ruthritter2,1338168033983029250,WallStreetQuee2,1358152121556873217,5,0.14285714285714285
150,batliwalabrandy,1315183408822145029,POTUS,1349149096909668363,5,0.14285714285714285
151,ruthritter2,1338168033983029250,RealChrisHicks,1117558685541306368,5,0.14285714285714285
152,mselephantgun,1191504506,andrewcuomo,2513761008,5,0.14285714285714285
153,francisjeffrey7,2268376730,seanonolennon,17427779,5,0.14285714285714285
154,ruthritter2,1338168033983029250,CalltoActivism,819994707061248001,5,0.14285714285714285
155,garygreno,1344787579,comp1120,1258137432622579721,5,0.14285714285714285
156,garygreno,1344787579,canyon_free,1408816937946157063,5,0.14285714285714285
157,blesamerica,2534967565,chiproytx,1257667158,5,0.14285714285714285
158,romulus7078,1133472756,Trader_2007,907674646883061762,5,0.14285714285714285
159,mselephantgun,1191504506,PressSec,1349170292564905988,5,0.14285714285714285
160,plamrecruiting,169666749,NewsPolitics,32281597,5,0.14285714285714285
161,dcfairbank,55679493,kurtmetzger,53192519,5,0.14285714285714285
162,kennethkallup,4848087193,GOP,11134252,5,0.14285714285714285
163,blesamerica,2534967565,dbongino,232901331,5,0.14285714285714285
164,ahluv2,1617917486,POTUS,1349149096909668363,5,0.14285714285714285
165,dcfairbank,55679493,briebriejoy,1332630685,5,0.14285714285714285
166,dcfairbank,55679493,anyaparampil,323494714,5,0.14285714285714285
167,blesamerica,2534967565,charliekirk11,292929271,5,0.14285714285714285
168,blesamerica,2534967565,blesamerika,1435538364,5,0.14285714285714285
169,blesamerica,2534967565,TuckerCarlson,22703645,5,0.14285714285714285
170,blesamerica,2534967565,TomCottonAR,343041182,5,0.14285714285714285
171,blesamerica,2534967565,SenateGOP,14344823,5,0.14285714285714285
172,justmeanybody,1305865621880569856,NATO,83795099,5,0.14285714285714285
173,blesamerica,2534967565,SenRonJohnson,233737858,5,0.14285714285714285
174,blesamerica,2534967565,RonnyJacksonTX,1201953403099893760,5,0.14285714285714285
175,dcfairbank,55679493,KitCabello,2906383873,5,0.14285714285714285
176,dcfairbank,55679493,JoeBiden,939091,5,0.14285714285714285
177,blesamerica,2534967565,RealCandaceO,878247600096509952,5,0.14285714285714285
178,blesamerica,2534967565,RandPaul,216881337,5,0.14285714285714285
179,blesamerica,2534967565,RaheemKassam,125128723,5,0.14285714285714285
180,dcfairbank,55679493,HardLensMedia,830585933741297666,5,0.14285714285714285
181,blesamerica,2534967565,RMConservative,252398355,5,0.14285714285714285
182,e92sam,45395384,ProjectLincoln,1205226529455632385,5,0.14285714285714285
183,dcfairbank,55679493,DanielLuepker,963189768292110336,5,0.14285714285714285
184,miamiarchangel,702514326,MiamiHerald,14085040,5,0.14285714285714285
185,blesamerica,2534967565,marklevinshow,38495835,5,0.14285714285714285
186,dcfairbank,55679493,ComfyFitness,73467542,5,0.14285714285714285
187,blesamerica,2534967565,mattgaetz,58579942,5,0.14285714285714285
188,sfslsyed,2951975394,ufqureshi,131079037,5,0.14285714285714285
189,sfslsyed,2951975394,motasim,15095433,5,0.14285714285714285
190,paulson_dwight,35909142,thehill,1917731,5,0.14285714285714285
191,sfslsyed,2951975394,_GhulamMustafa_,787699383999619072,5,0.14285714285714285
192,sfslsyed,2951975394,WaseemBadami,903495284,5,0.14285714285714285
193,2haveandhavenot,143917503,lizpeek,64701125,5,0.14285714285714285
194,sfslsyed,2951975394,ShireenMazari1,481156800,5,0.14285714285714285
195,sfslsyed,2951975394,RonPaulInstitut,1043097751,5,0.14285714285714285
196,4bnewsworld,1200551688911765504,POTUS,1349149096909668363,5,0.14285714285714285
197,sfslsyed,2951975394,PakPMO,1040146057093627904,5,0.14285714285714285
198,michaelpodwill,360037865,SamAntar,17893558,5,0.14285714285714285
199,michaelpodwill,360037865,JoeBiden,939091,5,0.14285714285714285
200,sfslsyed,2951975394,OfficialDGISPR,811505937911517184,5,0.14285714285714285
201,sfslsyed,2951975394,NACTAPK,946056731641176064,5,0.14285714285714285
202,sfslsyed,2951975394,InsafPK,95151029,5,0.14285714285714285
203,sfslsyed,2951975394,ImranKhanPTI,122453931,5,0.14285714285714285
204,blessnessman,13159422,FoxNews,1367531,5,0.14285714285714285
205,dreyfus_michael,1123641386,POTUS,1349149096909668363,5,0.14285714285714285
206,dreyfus_michael,1123641386,TelegraphWorld,19706851,5,0.14285714285714285
207,blesamerica,2534967565,tedcruz,23022687,5,0.14285714285714285
208,sfslsyed,2951975394,FaisalJavedKhan,260688830,5,0.14285714285714285
209,sfslsyed,2951975394,ClaudeRakisits,606741554,5,0.14285714285714285
210,dreyfus_michael,1123641386,peterdaou,18464266,5,0.14285714285714285
211,mrcrom1,23827237,POTUS,1349149096909668363,5,0.14285714285714285
212,mrcrom1,23827237,IAmPoliticsGirl,3827830753,5,0.14285714285714285
213,vandanamegastar,387621592,POTUS,1349149096909668363,5,0.14285714285714285
214,blesamerica,2534967565,HouseDemocrats,43963249,5,0.14285714285714285
215,blesamerica,2534967565,HouseGOP,15207668,5,0.14285714285714285
216,blesamerica,2534967565,IngrahamAngle,50769180,5,0.14285714285714285
217,blesamerica,2534967565,HawleyMO,2352629311,5,0.14285714285714285
218,vandanamegastar,387621592,tkarun,45790625,5,0.14285714285714285
219,garygreno,1344787579,BeColorblind,542165928,5,0.14285714285714285
220,justmeanybody,1305865621880569856,Schwarzenegger,12044602,5,0.14285714285714285
221,propc2020,424828064,Brick_Suit,1139029234163245056,5,0.14285714285714285
222,blesamerica,2534967565,DineshDSouza,91882544,5,0.14285714285714285
223,justmeanybody,1305865621880569856,SecBlinken,1350150750966603777,5,0.14285714285714285
224,blesamerica,2534967565,JoeBiden,939091,5,0.14285714285714285
225,blesamerica,2534967565,GOPLeader,19739126,5,0.14285714285714285
226,blesamerica,2534967565,LeaderMcConnell,1249982359,5,0.14285714285714285
227,blesamerica,2534967565,MariaBartiromo,208155240,5,0.14285714285714285
228,americansptsd,1442618448358608903,ajamubaraka,4303298356,5,0.14285714285714285
