,username_mittente,id_mittente,username_ricevente,id_ricevente,semestre,weights
0,scienceinvestme,135970150,JoeBiden,939091,2,1.0
1,dmaga101,1267802238874877953,JoeBiden,939091,2,0.5510204081632653
2,milesqblack1,1084980649520496642,realDonaldTrump,25073877,2,0.5306122448979592
3,drmiltenberger,1092550333044322304,realDonaldTrump,25073877,2,0.4897959183673469
4,technologie2021,1255391258694074373,nytimes,807095,2,0.46938775510204084
5,icecreamonacone,54361678,ProjectLincoln,1205226529455632385,2,0.4489795918367347
6,natashaejs,1262462710568022017,ProjectLincoln,1205226529455632385,2,0.3877551020408163
7,technologie2021,1255391258694074373,BernieSanders,216776631,2,0.30612244897959184
8,unsportingiam,1452785252,JoeBiden,939091,2,0.2653061224489796
9,icecreamonacone,54361678,JoeBiden,939091,2,0.2653061224489796
10,alyseb1980,64773321,realDonaldTrump,25073877,2,0.2653061224489796
11,peterdawsonusa,84091971,JoeBiden,939091,2,0.24489795918367346
12,irvinepmaicon,2900987098,realDonaldTrump,25073877,2,0.22448979591836735
13,kdlovesmd,1226352092459106304,realDonaldTrump,25073877,2,0.22448979591836735
14,theliberalpov,232353398,ProjectLincoln,1205226529455632385,2,0.22448979591836735
15,technologie2021,1255391258694074373,CNN,759251,2,0.20408163265306123
16,theliberalpov,232353398,JoeBiden,939091,2,0.20408163265306123
17,jphoganorg,37222728,realDonaldTrump,25073877,2,0.1836734693877551
18,icecreamonacone,54361678,donwinslow,255812611,2,0.16326530612244897
19,icecreamonacone,54361678,kylegriffin1,32871086,2,0.16326530612244897
20,willdye4u,240073748,realDonaldTrump,25073877,2,0.16326530612244897
21,icecreamonacone,54361678,MeidasTouch,1243560408025198593,2,0.16326530612244897
22,owlsi1,1278050664677953536,ProjectLincoln,1205226529455632385,2,0.16326530612244897
23,akazo,156549358,JoeBiden,939091,2,0.14285714285714285
24,509shawng,793658020743876608,realDonaldTrump,25073877,2,0.14285714285714285
25,ann1ebug,724271431945592832,realDonaldTrump,25073877,2,0.14285714285714285
26,unsportingiam,1452785252,tedlieu,21059255,2,0.12244897959183673
27,bledsoe_wes,1260210845365284867,realDonaldTrump,25073877,2,0.12244897959183673
28,theliberalpov,232353398,FullMetalFinch,742502593943900163,2,0.12244897959183673
29,michaelvabeach,1063557161320615936,JoeBiden,939091,2,0.10204081632653061
30,darrickwilkins,25925236,JoeBiden,939091,2,0.10204081632653061
31,icecreamonacone,54361678,TheRickWilson,19084896,2,0.10204081632653061
32,bruce8099,385766134,ProjectLincoln,1205226529455632385,2,0.10204081632653061
33,realdarthpizza,864875899497267200,JoeBiden,939091,2,0.10204081632653061
34,kccollins20,1227402402145267712,HillaryClinton,1339835893,2,0.10204081632653061
35,kccollins20,1227402402145267712,JoeBiden,939091,2,0.10204081632653061
36,johnsullysfb,4184432716,JoeBiden,939091,2,0.10204081632653061
37,lastblo27719045,1294364198928080896,realDonaldTrump,25073877,2,0.10204081632653061
38,lilyreflections,1439586715,JoeBiden,939091,2,0.10204081632653061
39,mariaal25005903,853445560677912576,realDonaldTrump,25073877,2,0.10204081632653061
40,polls_unbiased,1260414789895028737,JoeBiden,939091,2,0.08163265306122448
41,digitalvote_id,1255385746741121024,realDonaldTrump,25073877,2,0.08163265306122448
42,mjbricka,38275853,realDonaldTrump,25073877,2,0.08163265306122448
43,jphoganorg,37222728,JoeBiden,939091,2,0.08163265306122448
44,superwoman26245,701749794302070784,realDonaldTrump,25073877,2,0.08163265306122448
45,irvinepmaicon,2900987098,IvankaTrump,52544275,2,0.08163265306122448
46,georgedoramian,1232471924145577985,JoeBiden,939091,2,0.08163265306122448
47,unsportingiam,1452785252,MSNBC,2836421,2,0.08163265306122448
48,geniegr06689488,1166873366831271939,realDonaldTrump,25073877,2,0.08163265306122448
49,lisaisme85,2900247904,realDonaldTrump,25073877,2,0.08163265306122448
50,alwayesresting,1251532567028871171,realDonaldTrump,25073877,2,0.08163265306122448
51,unsportingiam,1452785252,realDonaldTrump,25073877,2,0.08163265306122448
52,ozbatrisa,1296276988437594114,JoeBiden,939091,2,0.08163265306122448
53,greenlakerun,30149991,realDonaldTrump,25073877,2,0.08163265306122448
54,bh_properties,1035554219325968384,realDonaldTrump,25073877,2,0.08163265306122448
55,sebwrites,343956175,RudyGiuliani,770781940341288960,2,0.08163265306122448
56,mandyrudenc,2207389554,JamesCTobias,1944680329,2,0.08163265306122448
57,alyseb1980,64773321,WhiteHouse,1323730225067339784,2,0.08163265306122448
58,icecreamonacone,54361678,MSNBC,2836421,2,0.08163265306122448
59,mark3ds,1242570896,csiscanada,725688814069518336,2,0.061224489795918366
60,mark3ds,1242570896,mfisheroverseas,453602533,2,0.061224489795918366
61,mark3ds,1242570896,cse_cst,718150263253635072,2,0.061224489795918366
62,mark3ds,1242570896,jmohanmalik,2785575176,2,0.061224489795918366
63,mark3ds,1242570896,elyratner,2205050719,2,0.061224489795918366
64,mark3ds,1242570896,cybercentre_ca,974706984007225344,2,0.061224489795918366
65,mark3ds,1242570896,nationalpost,14216661,2,0.061224489795918366
66,mark3ds,1242570896,ianjamesyoung70,903100790,2,0.061224489795918366
67,scrawfordpaul,586506089,realDonaldTrump,25073877,2,0.061224489795918366
68,mark3ds,1242570896,globeandmail,8736882,2,0.061224489795918366
69,icecreamonacone,54361678,jaketapper,14529929,2,0.061224489795918366
70,mark3ds,1242570896,vshih2,65221182,2,0.061224489795918366
71,hanifsahib,1614219540,tedlieu,21059255,2,0.061224489795918366
72,noragon93416294,983377316033302530,JoeBiden,939091,2,0.061224489795918366
73,lastblo27719045,1294364198928080896,seanhannity,41634520,2,0.061224489795918366
74,icecreamonacone,54361678,neal_katyal,780206406024691712,2,0.061224489795918366
75,theliberalpov,232353398,Lawrence,158426909,2,0.061224489795918366
76,cbcaelite1,1426219171,JoeBiden,939091,2,0.061224489795918366
77,ann1ebug,724271431945592832,seanhannity,41634520,2,0.061224489795918366
78,ann1ebug,724271431945592832,FoxNews,1367531,2,0.061224489795918366
79,ozbatrisa,1296276988437594114,BernieSanders,216776631,2,0.061224489795918366
80,ppppp_all,828314374884429826,JoeBiden,939091,2,0.061224489795918366
81,mark3ds,1242570896,nspector4,232519990,2,0.061224489795918366
82,therealandrew_,23259015,JoeBiden,939091,2,0.061224489795918366
83,mark3ds,1242570896,washingtonpost,2467791,2,0.061224489795918366
84,mark3ds,1242570896,cafreeland,203132018,2,0.061224489795918366
85,mark3ds,1242570896,stevenchase,16338550,2,0.061224489795918366
86,mark3ds,1242570896,rolandparis,222490077,2,0.061224489795918366
87,mark3ds,1242570896,nytimes,807095,2,0.061224489795918366
88,mark3ds,1242570896,nvanderklippe,20418841,2,0.061224489795918366
89,mark3ds,1242570896,cburton001,15312224,2,0.061224489795918366
90,mark3ds,1242570896,MichaelAuslen,27580565,2,0.061224489795918366
91,mark3ds,1242570896,TorontoStar,12848262,2,0.061224489795918366
92,mark3ds,1242570896,CyberGovAU,836716681179213824,2,0.061224489795918366
93,mark3ds,1242570896,CliveCHamilton,85252011,2,0.061224489795918366
94,mark3ds,1242570896,Chellaney,19329136,2,0.061224489795918366
95,mark3ds,1242570896,CanadaFP,121514648,2,0.061224489795918366
96,mark3ds,1242570896,CanadaChina,2859007707,2,0.061224489795918366
97,mark3ds,1242570896,CSIS,272019676,2,0.061224489795918366
98,mark3ds,1242570896,AaronFriedberg,305111392,2,0.061224489795918366
99,mark3ds,1242570896,ASIO,17684916,2,0.061224489795918366
100,iris2856,703437315130130432,realDonaldTrump,25073877,2,0.061224489795918366
101,lisaisme85,2900247904,JoeBiden,939091,2,0.061224489795918366
102,r_rrlight,1280530880583385090,realDonaldTrump,25073877,2,0.061224489795918366
103,greenlakerun,30149991,jackassdad2,3168258530,2,0.061224489795918366
104,greenlakerun,30149991,pjpaton,309686668,2,0.061224489795918366
105,cute_ares,1113897481,TwitterSupport,17874544,2,0.061224489795918366
106,icecreamonacone,54361678,DrEricDing,18831926,2,0.061224489795918366
107,unsportingiam,1452785252,CNNPolitics,13850422,2,0.061224489795918366
108,trumpbestraysus,2475723326,CNNPolitics,13850422,2,0.061224489795918366
109,nana2022baker,64452420,DonaldJTrumpJr,39344374,2,0.061224489795918366
110,mark3ds,1242570896,Colinfreeze,38778248,2,0.061224489795918366
111,mark3ds,1242570896,DHSgov,15647676,2,0.061224489795918366
112,mark3ds,1242570896,TerryGlavin,1380753061,2,0.061224489795918366
113,mark3ds,1242570896,DanLacelle,898611384560242688,2,0.061224489795918366
114,mark3ds,1242570896,SCS_Disputes,800883578770857984,2,0.061224489795918366
115,mark3ds,1242570896,RalphGoodale,188359178,2,0.061224489795918366
116,mark3ds,1242570896,NewmanRobinson,577355201,2,0.061224489795918366
117,mark3ds,1242570896,NSAGov,2248872301,2,0.061224489795918366
118,realphannigan,759239569460097024,realDonaldTrump,25073877,2,0.061224489795918366
119,mark3ds,1242570896,JustinTrudeau,14260960,2,0.061224489795918366
120,mark3ds,1242570896,IvisonJ,81122301,2,0.061224489795918366
121,mark3ds,1242570896,HonJohnMcCallum,233561717,2,0.061224489795918366
122,digitalvote_id,1255385746741121024,FrankAmari2,889522784916910080,2,0.061224489795918366
123,mark3ds,1242570896,GwynneDyer,102271706,2,0.061224489795918366
124,mark3ds,1242570896,GordonGChang,151930383,2,0.061224489795918366
125,mark3ds,1242570896,GarnettGenuis,235122381,2,0.061224489795918366
126,jphoganorg,37222728,thehill,1917731,2,0.061224489795918366
127,mark3ds,1242570896,GCHQ,4785764884,2,0.061224489795918366
128,mark3ds,1242570896,FredLitwin,181611928,2,0.061224489795918366
129,mark3ds,1242570896,DrBeeZee,2382424706,2,0.061224489795918366
130,mark3ds,1242570896,David_Mulroney,2255210942,2,0.061224489795918366
131,mark3ds,1242570896,FenellaSung1,1849613586,2,0.061224489795918366
132,profitdoctor_,1018422037,kelliekelly23,4286365994,2,0.061224489795918366
133,polls_unbiased,1260414789895028737,CNN,759251,2,0.061224489795918366
134,polls_unbiased,1260414789895028737,WSJ,3108351,2,0.061224489795918366
135,rightyjim,2871330699,dereckapurnell,305377439,2,0.061224489795918366
136,teaparty4pa,1229413533722562567,DonaldTrumpGOP,3295909099,2,0.061224489795918366
137,technologie2021,1255391258694074373,GretaThunberg,1006419421244678144,2,0.061224489795918366
138,drizzle_500,40805309,AndrewBatesNC,734768872625188864,2,0.061224489795918366
139,natashaejs,1262462710568022017,realDonaldTrump,25073877,2,0.061224489795918366
140,bidenharrishats,1293504549567766528,marcorubio,15745368,2,0.061224489795918366
141,tblackwe85,3272301115,ElbaSaavedra3,865047051209510913,2,0.061224489795918366
142,lilo623,88394635,JackPosobiec,592730371,2,0.04081632653061224
143,danielsestaban,1255751756312719361,realDonaldTrump,25073877,2,0.04081632653061224
144,owlsi1,1278050664677953536,realDonaldTrump,25073877,2,0.04081632653061224
145,owlsi1,1278050664677953536,DavMicRot,108977933,2,0.04081632653061224
146,lilo623,88394635,realDonaldTrump,25073877,2,0.04081632653061224
147,peterdawsonusa,84091971,dbongino,232901331,2,0.04081632653061224
148,throughparis28,1224843170531434496,TheGNRGirl,1210769303055695873,2,0.04081632653061224
149,scienceinvestme,135970150,KamalaHarris,30354991,2,0.04081632653061224
150,realllyabbas,1321452480199348224,KamalaHarris,30354991,2,0.04081632653061224
151,kirstenformn,962764981627473921,yokoboji,152749620,2,0.04081632653061224
152,tblackwe85,3272301115,JoeBiden,939091,2,0.04081632653061224
153,andrew00041995,1583444918,realDonaldTrump,25073877,2,0.04081632653061224
154,c_j_evy,1270062718729572354,JoeBiden,939091,2,0.04081632653061224
155,meechelchapo,1053362401024860171,mercari_app,2468378420,2,0.04081632653061224
156,bentleythedog,134307442,ProudSocialist,755057897583804416,2,0.04081632653061224
157,hanifsahib,1614219540,realDonaldTrump,25073877,2,0.04081632653061224
158,kenvitiello,1663776464,KamalaHarris,30354991,2,0.04081632653061224
159,pansyofficially,1597898436,JoeBiden,939091,2,0.04081632653061224
160,silentmoments,1322701137330536448,realDonaldTrump,25073877,2,0.04081632653061224
161,dizlexic,105694408,thehill,1917731,2,0.04081632653061224
162,natashaejs,1262462710568022017,madrid_mike,450341380,2,0.04081632653061224
163,ws121,69371039,JoeBiden,939091,2,0.04081632653061224
164,bigslam123,2332681,SenSchumer,17494010,2,0.04081632653061224
165,blesamerica,2534967565,RudyGiuliani,770781940341288960,2,0.04081632653061224
166,noscotts,74637181,realDonaldTrump,25073877,2,0.04081632653061224
167,pelantaro3,1318983198639034368,realDonaldTrump,25073877,2,0.04081632653061224
168,irvinepmaicon,2900987098,DonaldJTrumpJr,39344374,2,0.04081632653061224
169,icecreamonacone,54361678,PressSec,1349170292564905988,2,0.04081632653061224
170,meechelchapo,1053362401024860171,bbb_us,15602091,2,0.04081632653061224
171,irvinepmaicon,2900987098,EricTrump,39349894,2,0.04081632653061224
172,alexisfcain,2784763018,realDonaldTrump,25073877,2,0.04081632653061224
173,lisaisme85,2900247904,BarackObama,813286,2,0.04081632653061224
174,sharoncarbine,301713190,JoeBiden,939091,2,0.04081632653061224
175,joebobmr,296305721,EpochTimes,29097819,2,0.04081632653061224
176,jobinindia,47302211,realDonaldTrump,25073877,2,0.04081632653061224
177,funnymcmurray,754592746405449728,realDonaldTrump,25073877,2,0.04081632653061224
178,meechelchapo,1053362401024860171,ABC,28785486,2,0.04081632653061224
179,cumberickman,487311422,realDonaldTrump,25073877,2,0.04081632653061224
180,natashaejs,1262462710568022017,JRubinBlogger,218975278,2,0.04081632653061224
181,hafez91943976,1138563863291600896,RepAdamSchiff,29501253,2,0.04081632653061224
182,deniseparashac,2250640847,JoeBiden,939091,2,0.04081632653061224
183,cumberickman,487311422,washingtonpost,2467791,2,0.04081632653061224
184,meechelchapo,1053362401024860171,ABC7NY,16715398,2,0.04081632653061224
185,bh_properties,1035554219325968384,dbongino,232901331,2,0.04081632653061224
186,meechelchapo,1053362401024860171,PIX11,25564982,2,0.04081632653061224
187,natashaejs,1262462710568022017,JoeBiden,939091,2,0.04081632653061224
188,ozbatrisa,1296276988437594114,briebriejoy,1332630685,2,0.04081632653061224
189,realphannigan,759239569460097024,thehill,1917731,2,0.04081632653061224
190,misty__bella,1147276890,JoeBiden,939091,2,0.04081632653061224
191,meechelchapo,1053362401024860171,SaraLGarland1,1293273277213753344,2,0.04081632653061224
192,janieresists,1158562636113440768,JoeBiden,939091,2,0.04081632653061224
193,realphannigan,759239569460097024,CBSNews,15012486,2,0.04081632653061224
194,janieresists,1158562636113440768,GeoRebekah,2579571584,2,0.04081632653061224
195,realphannigan,759239569460097024,CNNPolitics,13850422,2,0.04081632653061224
196,peterdawsonusa,84091971,thehill,1917731,2,0.04081632653061224
197,robhny,33079006,Breaking911,375721095,2,0.04081632653061224
198,ozbatrisa,1296276988437594114,aturtlenamedbo1,1233835215296049155,2,0.04081632653061224
199,haldonahue,18199486,realDonaldTrump,25073877,2,0.04081632653061224
200,klassiqman,3252946051,tariqnasheed,16948493,2,0.04081632653061224
201,greenlakerun,30149991,NormanDeArmond,539721796,2,0.04081632653061224
202,drizzle_500,40805309,funder,14247236,2,0.04081632653061224
203,greenlakerun,30149991,RicciGeri,4846230078,2,0.04081632653061224
204,meechelchapo,1053362401024860171,PIX11News,9542972,2,0.04081632653061224
205,mariaal25005903,853445560677912576,ProjectLincoln,1205226529455632385,2,0.04081632653061224
206,wc_fox,7026252,TeamTrump,729676086632656900,2,0.04081632653061224
