,username_mittente,id_mittente,username_ricevente,id_ricevente,semestre,weights
0,khosraviamirali,1843984716,JoeBiden,939091,3,1.0
1,khosraviamirali,1843984716,POTUS,1349149096909668363,3,1.0
2,slothsforme,3842652433,POTUS,1349149096909668363,3,0.9583333333333334
3,khosraviamirali,1843984716,VP,803694179079458816,3,0.6666666666666666
4,nikihamedi,758186902289645569,POTUS,1349149096909668363,3,0.5416666666666666
5,khosraviamirali,1843984716,KamalaHarris,30354991,3,0.5416666666666666
6,golmakanineda,1355147425728638977,ckuck,16105846,3,0.5416666666666666
7,golmakanineda,1355147425728638977,Solmazv7,1328054042107396096,3,0.4583333333333333
8,golmakanineda,1355147425728638977,VP,803694179079458816,3,0.4583333333333333
9,golmakanineda,1355147425728638977,POTUS,1349149096909668363,3,0.4583333333333333
10,zemanlynnz,3589010426,GOP,11134252,3,0.375
11,elnurrik3,1172766864268832769,POTUS,1349149096909668363,3,0.375
12,jphoganorg,37222728,GOPChairwoman,2353605901,3,0.375
13,jphoganorg,37222728,POTUS,1349149096909668363,3,0.3333333333333333
14,khosraviamirali,1843984716,DrBiden,821784477076750338,3,0.3333333333333333
15,elliielle,1244730845379866624,POTUS,1349149096909668363,3,0.3333333333333333
16,golmakanineda,1355147425728638977,ashleytabaddor,2610224048,3,0.2916666666666667
17,nikihamedi,758186902289645569,JoeBiden,939091,3,0.2916666666666667
18,golmakanineda,1355147425728638977,SecBlinken,1350150750966603777,3,0.2916666666666667
19,jphoganorg,37222728,GOPLeader,19739126,3,0.2916666666666667
20,elliielle,1244730845379866624,SecBlinken,1350150750966603777,3,0.2916666666666667
21,khosraviamirali,1843984716,SecBlinken,1350150750966603777,3,0.25
22,milesqblack1,1084980649520496642,SenTedCruz,1074480192,3,0.25
23,golmakanineda,1355147425728638977,AP,51241574,3,0.25
24,mahdis_nimafar,1325738707677278209,POTUS,1349149096909668363,3,0.25
25,golmakanineda,1355147425728638977,StateDept,9624742,3,0.25
26,golmakanineda,1355147425728638977,USADarFarsi,1338899541429391361,3,0.25
27,irvinepmaicon,2900987098,Jim_Jordan,18166778,3,0.25
28,golmakanineda,1355147425728638977,USCIS,14625398,3,0.25
29,zemanlynnz,3589010426,HouseGOP,15207668,3,0.25
30,golmakanineda,1355147425728638977,zazadeh0111,1331338476760035329,3,0.25
31,irvinepmaicon,2900987098,AOC,138203134,3,0.20833333333333334
32,irvinepmaicon,2900987098,IlhanMN,783792992,3,0.20833333333333334
33,irvinepmaicon,2900987098,seanhannity,41634520,3,0.16666666666666666
34,irvinepmaicon,2900987098,SpeakerPelosi,15764644,3,0.16666666666666666
35,sina23296582,1392748074389409793,POTUS,1349149096909668363,3,0.16666666666666666
36,paulo21114135,1347683949749932035,VP,803694179079458816,3,0.16666666666666666
37,davehorn_ca,159802035,laurenboebert,1201670995435646976,3,0.16666666666666666
38,eyesonfoxorg,117327100,thehill,1917731,3,0.16666666666666666
39,irvinepmaicon,2900987098,LindseyGrahamSC,432895323,3,0.16666666666666666
40,khosraviamirali,1843984716,WhiteHouse,1323730225067339784,3,0.16666666666666666
41,alyseb1980,64773321,DonaldJTrumpJr,39344374,3,0.16666666666666666
42,irvinepmaicon,2900987098,RepMattGaetz,818948638890217473,3,0.16666666666666666
43,irvinepmaicon,2900987098,BreitbartNews,457984599,3,0.16666666666666666
44,teaparty4pa,1229413533722562567,DonaldTrumpGOP,3295909099,3,0.16666666666666666
45,brodymoconnell1,1337794630818164738,POTUS,1349149096909668363,3,0.16666666666666666
46,irvinepmaicon,2900987098,IngrahamAngle,50769180,3,0.16666666666666666
47,elliielle,1244730845379866624,Rob_Malley,397055388,3,0.16666666666666666
48,mstmo1983,1330846699061964801,FoxNews,1367531,3,0.16666666666666666
49,elliielle,1244730845379866624,VP,803694179079458816,3,0.16666666666666666
50,irvinepmaicon,2900987098,SarahHuckabee,5509762,3,0.125
51,blesamerica,2534967565,blesamerika,1435538364,3,0.125
52,blesamerica,2534967565,RaheemKassam,125128723,3,0.125
53,blesamerica,2534967565,TuckerCarlson,22703645,3,0.125
54,elckerlyc,1049917423829348352,GOP,11134252,3,0.125
55,zasomaye,1350667818329649153,FLOTUS,1349154719386775552,3,0.125
56,abu_amrali,4026265037,StateDept,9624742,3,0.125
57,brodymoconnell1,1337794630818164738,GOP,11134252,3,0.125
58,sina23296582,1392748074389409793,VP,803694179079458816,3,0.125
59,anmike7,1288620300922494976,WSJ,3108351,3,0.125
60,anmike7,1288620300922494976,ajc,4170491,3,0.125
61,sina23296582,1392748074389409793,CAIRNational,203060129,3,0.125
62,irvinepmaicon,2900987098,tedcruz,23022687,3,0.125
63,irvinepmaicon,2900987098,RepMTG,1344356576786866176,3,0.125
64,ahluv2,1617917486,POTUS,1349149096909668363,3,0.125
